ZEIT;RAUMID;BEZ;PGR;BZR;PLR;BEZPGR;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_EU1;E_E1U6;E_E6U15;E_E15U18;E_E18U25;E_E25U55;E_E55U65;E_E65U80;E_E80U110
202412;01100101;01;10;01;01;0110;3580;1869;1711;37;25;24;49;30;18;22;55;52;32;24;49;67;229;170;244;405;346;224;206;179;173;130;73;68;94;152;141;151;91;17;3;37;128;203;49;296;1774;376;455;262
202412;01100102;01;10;01;02;0110;2034;1113;921;18;9;18;27;19;3;3;39;22;29;9;27;50;94;60;122;265;239;173;132;110;175;72;57;37;49;70;42;43;18;3;0;18;73;105;27;144;1101;304;198;64
202412;01100103;01;10;01;03;0110;5790;3073;2717;52;50;46;95;44;59;50;80;84;70;31;123;133;289;210;383;600;527;433;325;329;333;184;162;124;197;260;199;150;105;50;13;52;235;374;123;422;2807;679;780;318
202412;01100104;01;10;01;04;0110;4889;2587;2302;43;46;29;95;42;42;38;74;67;83;51;129;134;330;222;384;563;487;396;330;298;262;191;104;87;81;125;78;42;9;18;9;43;212;355;129;464;2680;557;371;78
202412;01100205;01;10;02;05;0110;2917;1545;1372;15;19;25;35;18;22;24;40;21;36;18;49;66;172;123;232;421;273;204;135;168;143;100;67;57;81;116;86;76;51;21;3;15;97;161;49;238;1556;310;340;151
202412;01100206;01;10;02;06;0110;1876;973;903;12;15;12;34;12;18;22;21;28;10;13;41;43;85;73;99;195;188;176;129;127;151;72;51;34;36;52;40;54;18;12;3;12;73;112;41;128;987;274;162;87
202412;01100207;01;10;02;07;0110;8844;4473;4371;78;69;75;155;75;86;65;171;111;100;49;134;169;347;213;536;1016;1006;743;527;447;515;335;180;196;201;386;303;323;171;55;7;78;374;582;134;516;4488;1030;1086;556
202412;01100308;01;10;03;08;0110;7297;3728;3569;65;70;57;119;55;68;45;106;95;100;56;123;134;293;237;565;946;907;670;551;510;460;208;116;90;137;196;126;114;59;13;6;65;301;470;123;427;4386;784;549;192
202412;01100309;01;10;03;09;0110;12651;6451;6200;106;80;108;198;101;115;91;188;188;186;97;340;349;558;341;750;1300;1318;1117;1114;961;1062;516;252;186;229;339;200;152;79;24;6;106;487;865;340;907;6901;1830;954;261
202412;01100310;01;10;03;10;0110;10181;5377;4804;56;85;77;168;78;66;84;121;135;129;60;166;238;488;356;711;1291;1171;866;642;588;582;346;192;150;242;322;170;325;202;60;14;56;408;595;166;726;5625;1120;884;601
202412;01100311;01;10;03;11;0110;9787;4752;5035;65;68;71;179;74;98;83;175;168;156;62;210;261;658;327;492;978;881;599;555;385;498;298;169;203;278;407;312;488;398;142;49;65;392;742;210;919;4217;965;1200;1077
202412;01100312;01;10;03;12;0110;10727;5447;5280;88;90;105;219;89;83;80;189;135;129;60;175;197;467;331;654;1336;1233;905;613;553;624;314;204;177;223;321;263;375;340;129;26;88;503;676;175;664;5625;1142;984;870
202412;01100313;01;10;03;13;0110;11590;5886;5704;97;84;105;193;93;105;104;164;144;162;71;163;384;813;420;773;1181;1253;929;730;593;647;427;197;196;281;373;250;325;255;72;6;97;475;750;163;1197;5879;1271;1100;658
202412;01100414;01;10;04;14;0110;5513;2832;2681;76;81;57;165;73;54;67;134;100;78;32;102;106;159;194;388;899;900;598;365;259;215;93;52;47;49;61;46;27;24;9;3;76;376;465;102;265;3603;360;203;63
202412;01100415;01;10;04;15;0110;13348;6719;6629;92;114;121;220;100;111;110;215;214;235;120;378;410;642;394;786;1575;1502;1213;1092;1048;1024;444;241;167;220;248;126;122;49;15;0;92;555;1005;378;1052;7610;1709;761;186
202412;01100416;01;10;04;16;0110;13523;6757;6766;133;127;126;258;108;105;131;242;235;227;128;364;327;451;332;802;1548;1651;1306;1224;1161;953;411;179;123;191;231;176;147;86;34;6;133;619;1068;364;778;8024;1543;721;273
202412;01200517;01;20;05;17;0120;3924;2171;1753;32;21;31;46;43;38;26;62;56;62;41;94;137;267;191;315;547;432;298;223;206;164;137;75;95;70;84;66;43;12;7;3;32;141;285;94;404;2212;376;315;65
202412;01200518;01;20;05;18;0120;7096;3792;3304;64;73;61;143;61;35;64;98;90;92;39;127;259;525;375;618;982;753;526;368;362;372;212;120;91;139;174;131;66;47;23;6;64;338;418;127;784;3984;704;535;142
202412;01200519;01;20;05;19;0120;9592;5126;4466;68;69;87;141;69;58;67;141;135;139;70;220;250;574;419;825;1303;1038;747;555;480;495;327;176;156;225;285;220;153;75;13;12;68;366;610;220;824;5367;998;886;253
202412;01200520;01;20;05;20;0120;9513;4971;4542;61;71;63;140;83;70;61;136;123;119;65;190;235;521;418;741;1221;944;729;558;513;578;370;221;201;258;331;223;134;113;15;7;61;357;574;190;756;5124;1169;1013;269
202412;01200521;01;20;05;21;0120;5259;2845;2414;36;64;34;80;39;45;41;97;73;79;51;131;165;294;249;416;661;506;409;318;255;297;175;104;92;136;143;117;89;53;6;4;36;217;386;131;459;2814;576;488;152
202412;01200522;01;20;05;22;0120;11521;5683;5838;77;94;77;182;91;72;79;168;140;146;76;234;294;539;385;692;1179;1033;748;666;646;772;554;317;293;388;578;433;305;182;58;23;77;444;681;234;833;5349;1643;1692;568
202412;01200623;01;20;06;23;0120;10990;5786;5204;74;90;107;187;89;80;78;157;163;169;84;247;262;597;487;854;1565;1270;845;692;577;645;349;188;183;205;272;207;139;91;27;10;74;473;731;247;859;6290;1182;867;267
202412;01200624;01;20;06;24;0120;6942;3689;3253;119;114;112;174;77;76;67;124;84;75;37;94;201;362;290;611;1355;1136;618;326;248;222;119;43;31;55;54;49;45;21;0;3;119;477;463;94;563;4584;384;189;69
202412;01200625;01;20;06;25;0120;6905;3501;3404;56;43;49;107;69;65;67;137;133;138;58;215;218;368;276;449;739;615;508;420;387;399;246;121;121;143;254;202;163;95;38;6;56;268;598;215;586;3394;766;720;302
202412;01200626;01;20;06;26;0120;6079;3092;2987;38;43;31;106;37;47;33;89;98;76;33;111;123;295;183;395;725;568;495;373;333;403;238;139;120;148;248;219;185;120;27;0;38;217;376;111;418;3072;780;735;332
202412;01200627;01;20;06;27;0120;3388;1704;1684;13;24;38;84;51;56;55;98;85;81;37;121;139;177;111;132;275;271;214;222;183;181;129;80;62;93;122;107;91;41;15;0;13;197;412;121;316;1408;390;384;147
202412;01200628;01;20;06;28;0120;3281;1704;1577;34;26;30;60;28;19;28;37;40;45;19;61;78;132;110;193;358;320;261;234;172;268;145;93;48;81;133;70;88;58;6;6;34;144;188;61;210;1648;506;332;158
202412;01200629;01;20;06;29;0120;6039;3108;2931;27;32;37;69;28;25;35;60;66;50;31;81;172;482;318;475;691;474;338;274;302;359;228;148;117;169;278;221;258;126;56;12;27;166;267;81;654;2872;735;785;452
202412;01300730;01;30;07;30;0130;8060;4319;3741;77;75;82;158;84;84;99;167;177;181;95;291;325;573;332;531;888;725;518;501;473;397;243;131;112;160;198;143;113;74;43;10;77;399;803;291;898;3968;771;613;240
202412;01300731;01;30;07;31;0130;8922;4690;4232;61;95;74;197;68;84;74;184;167;164;75;268;289;590;390;678;982;843;673;516;463;510;272;192;139;171;261;165;150;79;45;3;61;434;748;268;879;4545;974;736;277
202412;01300732;01;30;07;32;0130;10078;5203;4875;88;95;105;245;109;98;107;222;202;208;98;289;330;587;412;651;1130;1040;807;645;556;546;315;172;155;171;211;153;169;133;16;13;88;554;935;289;917;5241;1033;690;331
202412;01300733;01;30;07;33;0130;11684;6031;5653;80;110;94;192;110;100;113;219;263;248;101;376;388;699;461;705;1331;1140;911;761;738;694;358;187;184;240;303;247;214;86;27;4;80;506;1044;376;1087;6047;1239;974;331
202412;01300834;01;30;08;34;0130;14258;7096;7162;114;150;149;306;179;167;189;394;339;370;172;555;532;730;429;710;1241;1320;1016;990;810;793;503;295;213;327;480;293;247;168;64;13;114;784;1631;555;1262;6516;1591;1313;492
202412;01300835;01;30;08;35;0130;10821;5311;5510;62;74;96;192;111;114;105;213;219;187;103;301;485;834;418;565;883;843;736;699;544;563;434;231;203;278;382;333;316;188;90;19;62;473;941;301;1319;4688;1228;1196;613
202412;01300836;01;30;08;36;0130;14947;7874;7073;113;116;130;299;133;134;155;275;284;305;146;439;531;1030;645;1013;1793;1435;1121;976;894;761;448;273;217;263;379;236;226;126;47;4;113;678;1299;439;1561;7877;1482;1095;403
202412;01400937;01;40;09;37;0140;10966;5618;5348;82;90;85;170;91;88;87;170;140;144;76;250;301;591;401;692;1189;1022;770;658;585;737;446;304;248;295;413;272;292;188;63;26;82;436;705;250;892;5317;1487;1228;569
202412;01400938;01;40;09;38;0140;9681;5077;4604;76;85;62;162;69;66;76;147;117;153;70;203;257;545;399;723;1338;993;687;581;487;543;318;194;196;209;283;235;218;158;28;3;76;378;629;203;802;5208;1055;923;407
202412;01400939;01;40;09;39;0140;6149;3148;3001;57;67;46;108;57;69;61;99;95;87;39;134;163;365;271;465;806;621;448;344;316;349;196;100;112;132;178;119;117;100;28;0;57;278;450;134;528;3271;645;541;245
202412;01400940;01;40;09;40;0140;7094;3377;3717;71;76;96;175;79;76;80;117;133;122;49;145;144;277;213;311;561;590;476;360;339;476;340;185;182;218;398;287;268;163;65;22;71;426;577;145;421;2850;1001;1085;518
